@relation A012VibTrain
@attribute f_0 numeric
@attribute f_1 numeric
@attribute f_2 numeric
@attribute f_3 numeric
@attribute f_4 numeric
@attribute f_5 numeric
@attribute f_6 numeric
@attribute f_7 numeric
@attribute f_8 numeric
@attribute f_9 numeric
@attribute f_10 numeric
@attribute f_11 numeric
@attribute f_12 numeric
@attribute f_13 numeric
@attribute f_14 numeric
@attribute f_15 numeric
@attribute f_16 numeric
@attribute f_17 numeric
@attribute f_18 numeric
@attribute f_19 numeric
@attribute f_20 numeric
@attribute f_21 numeric
@attribute f_22 numeric
@attribute f_23 numeric
@attribute f_24 numeric
@attribute f_25 numeric
@attribute f_26 numeric
@attribute f_27 numeric
@attribute f_28 numeric
@attribute f_29 numeric
@attribute f_30 numeric
@attribute f_31 numeric
@attribute f_32 numeric
@attribute f_33 numeric
@attribute f_34 numeric
@attribute f_35 numeric
@attribute f_36 numeric
@attribute f_37 numeric
@attribute f_38 numeric
@attribute f_39 numeric
@attribute f_40 numeric
@attribute f_41 numeric
@attribute f_42 numeric
@attribute f_43 numeric
@attribute f_44 numeric
@attribute f_45 numeric
@attribute f_46 numeric
@attribute f_47 numeric
@attribute f_48 numeric
@attribute f_49 numeric
@attribute f_50 numeric
@attribute f_51 numeric
@attribute f_52 numeric
@attribute f_53 numeric
@attribute f_54 numeric
@attribute f_55 numeric
@attribute f_56 numeric
@attribute f_57 numeric
@attribute f_58 numeric
@attribute f_59 numeric
@attribute f_60 numeric
@attribute f_61 numeric
@attribute f_62 numeric
@attribute label {A,B,C}
@data
886.0,369.0,157.0,45.0,21.0,10.0,9.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,10.0,A
657.0,252.0,83.0,33.0,17.0,9.0,7.0,6.0,5.0,4.0,6.0,6.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,A
529.0,178.0,63.0,20.0,10.0,6.0,9.0,8.0,4.0,3.0,6.0,6.0,6.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,6.0,A
535.0,186.0,56.0,24.0,14.0,7.0,8.0,6.0,5.0,4.0,6.0,6.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,A
576.0,153.0,66.0,36.0,13.0,12.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,4.0,7.0,8.0,6.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,6.0,A
667.0,231.0,93.0,57.0,15.0,11.0,10.0,6.0,6.0,5.0,5.0,3.0,3.0,4.0,6.0,4.0,5.0,6.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,6.0,A
787.0,284.0,114.0,55.0,15.0,8.0,6.0,7.0,5.0,7.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,5.0,9.0,A
757.0,231.0,103.0,45.0,17.0,17.0,6.0,6.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,5.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,A
804.0,263.0,136.0,65.0,25.0,17.0,11.0,4.0,6.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,7.0,4.0,3.0,4.0,A
717.0,286.0,88.0,53.0,19.0,20.0,17.0,6.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,5.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,A
612.0,325.0,129.0,73.0,31.0,17.0,10.0,6.0,3.0,4.0,8.0,6.0,5.0,6.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,A
685.0,433.0,201.0,90.0,37.0,28.0,17.0,10.0,4.0,4.0,6.0,6.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,6.0,7.0,3.0,5.0,8.0,A
577.0,208.0,89.0,32.0,26.0,12.0,12.0,8.0,6.0,4.0,3.0,5.0,4.0,6.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,6.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,3.0,3.0,5.0,A
516.0,143.0,48.0,49.0,15.0,13.0,8.0,8.0,7.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,2.0,2.0,5.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,5.0,3.0,2.0,3.0,A
503.0,167.0,77.0,49.0,17.0,14.0,10.0,6.0,7.0,7.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,6.0,A
503.0,167.0,60.0,38.0,15.0,14.0,8.0,6.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,6.0,A
470.0,140.0,49.0,32.0,21.0,16.0,10.0,7.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,6.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,A
442.0,134.0,52.0,20.0,15.0,11.0,6.0,6.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,6.0,5.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,6.0,3.0,3.0,5.0,3.0,3.0,4.0,A
341.0,108.0,30.0,15.0,9.0,7.0,4.0,5.0,6.0,6.0,7.0,6.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,4.0,6.0,3.0,3.0,5.0,3.0,3.0,3.0,A
579.0,169.0,101.0,44.0,19.0,18.0,14.0,7.0,6.0,5.0,5.0,6.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,A
815.0,356.0,133.0,92.0,36.0,23.0,14.0,7.0,6.0,7.0,6.0,4.0,5.0,7.0,5.0,5.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,6.0,7.0,3.0,5.0,7.0,A
890.0,386.0,158.0,74.0,35.0,18.0,12.0,11.0,4.0,6.0,7.0,4.0,4.0,4.0,3.0,4.0,7.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,A
865.0,367.0,140.0,71.0,35.0,17.0,16.0,11.0,5.0,6.0,6.0,6.0,6.0,4.0,3.0,4.0,6.0,4.0,2.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,2.0,4.0,6.0,6.0,5.0,4.0,4.0,5.0,A
634.0,230.0,87.0,32.0,11.0,8.0,9.0,8.0,7.0,6.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,3.0,4.0,7.0,A
553.0,181.0,82.0,33.0,13.0,10.0,9.0,5.0,5.0,6.0,6.0,4.0,4.0,6.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,6.0,A
522.0,157.0,63.0,33.0,16.0,9.0,8.0,5.0,5.0,6.0,4.0,4.0,5.0,7.0,5.0,4.0,4.0,3.0,3.0,3.0,6.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,6.0,5.0,4.0,5.0,A
303.0,86.0,25.0,21.0,13.0,9.0,7.0,6.0,5.0,6.0,5.0,3.0,3.0,3.0,4.0,6.0,4.0,4.0,4.0,3.0,6.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,A
481.0,187.0,88.0,48.0,25.0,17.0,9.0,9.0,6.0,7.0,5.0,6.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,1.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,6.0,4.0,3.0,3.0,3.0,A
810.0,291.0,127.0,58.0,23.0,18.0,12.0,8.0,8.0,7.0,9.0,7.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,6.0,10.0,A
744.0,290.0,133.0,64.0,37.0,24.0,13.0,15.0,15.0,9.0,9.0,10.0,9.0,9.0,7.0,8.0,10.0,4.0,6.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,7.0,8.0,A
483.0,236.0,113.0,40.0,25.0,17.0,12.0,7.0,7.0,8.0,6.0,7.0,5.0,5.0,5.0,7.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,3.0,3.0,3.0,A
724.0,272.0,133.0,75.0,25.0,12.0,7.0,7.0,6.0,7.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,A
724.0,245.0,107.0,75.0,25.0,22.0,13.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,A
789.0,363.0,111.0,72.0,50.0,29.0,20.0,16.0,6.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,7.0,8.0,6.0,9.0,9.0,A
